"Input_id","labeldem","labelgop","labeldjt"
"dixsh84",0,0,-1
"djy0vjk",0,0,1
"dtgmb26",-1,0,0
"dtalyfw",0,-1,0
"dn3j87f",0,-1,-1
"dgmys3e",0,0,-1
"dafn413",-1,0,0
"dc5o2br",-1,0,0
"dqen2gr",0,-1,-1
"dt0ddmg",-1,1,1
"dktx4bw",0,1,0
"dg7iuuv",0,-1,0
"dfihlj3",-1,0,0
"dszh2po",-1,1,1
"dm4tyyw",0,0,-1
"dtfhe9i",-1,1,1
"dsoi4hv",0,-1,-1
"drpng8t",-1,1,0
"dsmlkv7",1,0,-1
"dm8a1if",0,-1,-1
"dd1mtae",-1,0,1
"ddtuhmf",0,-1,-1
"dq4cyf2",-1,-1,0
"db4c30h",0,-1,-1
"dpa9kn2",0,-1,-1
"diwxyyw",-1,0,0
"dhmptjj",0,0,-1
"dstryq3",0,-1,0
"dugsgnv",0,-1,0
"ddq7e0v",-1,0,0
"dnljva9",-1,0,1
"dtlfasr",-1,1,0
"doi4ahk",-1,1,0
"dh7ym1a",0,-1,0
"dn7ueud",0,0,-1
"dn89xnq",-1,-99,-99
"dl8hqv1",-1,0,1
"duj4hu4",-1,0,0
"drbjgm4",-1,1,1
"dl3se3u",0,-1,-1
"doyp2dh",-1,0,0
"dttpxlh",0,0,-1
"dclqri4",-1,0,0
"dtfk428",-1,1,1
"d9q0poz",0,-1,0
"dr0y2ph",-1,1,1
"diww2xj",0,0,-1
"db844sy",-1,0,0
"dti4sh1",-1,0,0
"dtuh4et",0,-1,-1
"dkm4z2z",0,0,1
"dfbfqtt",0,0,-1
"dt90e6a",0,-1,-1
"dqrfh6u",0,-1,0
"dr9pb46",-1,0,0
"dpnvjo3",0,-1,-1
"demycob",0,-1,-1
"dh07w31",1,0,0
"dp42p20",-1,1,1
"ddg4y4g",0,0,-1
"dgrpwjz",0,-1,-1
"dhz41pi",0,-1,-1
"d9yjash",0,1,1
"dugdr52",-1,0,0
"dqklj8h",0,-1,-1
"dsrrik2",-1,0,0
"ddz7d73",-1,0,0
"dhh35fu",0,0,-1
"dr9pnn8",-1,0,0
"diuc6u7",-1,0,0
"dqzgscy",-1,0,0
"dn0tax3",0,0,-1
"dkrfoyf",-1,1,1
"dsrscii",0,-1,-1
"do9e4t1",0,-1,-1
"dg8ip19",0,-1,-1
"dtfje1m",-1,0,1
"dofcg2q",0,-1,-1
"dftbf76",-1,0,0
"dscwtmi",-1,1,1
"dtfpnhl",-1,0,0
"dsg9djz",0,-1,0
"do2vjz1",0,-1,-1
"dh95fqs",0,-1,0
"dh29y4z",-1,0,0
"diognri",1,-1,-1
"dkow43h",1,-1,-1
"dc5ojif",0,-1,-1
"dr1f4hh",-1,1,1
"diutual",1,-1,0
"df38j5e",-1,-99,-1
"dec7ul6",-1,1,1
"d9loam3",0,0,-1
"dpvwi9o",-1,0,0
"ddtc5jn",0,0,1
"dk188us",0,0,-1
"dsnz5es",0,-1,-1
"drnxbju",-1,1,1
"ds2wnoe",-1,1,1
"dq1x1h0",0,0,-1
"dsz6x53",0,-1,-1
"dhcllrn",0,0,-1
"do799ca",0,0,-1
"dtl3x1z",-1,0,0
"ddhhs7g",0,-1,0
"depde48",0,-1,0
"ddy9o5u",0,-1,0
"d9l559s",-1,1,0
"dl5ln5p",0,0,-1
"dpgv0b8",0,-1,-1
"dst2qbq",-1,1,1
"dbxg5k8",1,-1,0
"dsp60eo",0,1,1
"df64go6",-1,-1,-1
"dr5b3ux",-1,0,0
"dodjesn",-1,0,0
"djyegb1",0,-1,-1
"dtqfenq",0,-1,0
"diq33li",-1,0,0
"dhhkpu8",0,-1,-1
"drvn8ym",-1,-99,1
"djtt910",0,0,-1
"da7etlb",-1,1,1
"dtiauqu",0,0,1
"dsf4nbc",-1,0,0
"dilcqwr",-1,1,1
"dik1zn0",0,0,-1
"dffc4ue",0,0,-1
"da6yqau",1,-99,-99
"dly0vd0",0,0,-1
"ddvq3bc",0,-1,-1
"dpru3mv",0,0,-1
"di6vdlv",0,0,-1
"dr5aqqo",-1,0,1
"du5izuy",-1,0,0
"delou2k",0,0,1
"dpwmkz7",-1,0,0
"ds9ucv5",-1,1,1
"dhvh9ee",-1,0,0
"dog9bz9",0,-1,-1
"diorhdq",0,-1,-1
"djg2ynr",0,1,0
"duzdc0a",0,0,-1
"dpuy5ue",1,0,0
"dp3j2ym",-1,1,1
"df69sx9",0,-1,-1
"dsy17pw",0,1,1
"dafq5bz",-1,0,0
"du0rpff",-1,0,0
"dgzawy6",-1,1,1
"d9q4nco",-1,0,0
"dkz77kg",0,0,-1
"dqfitjq",0,-1,-1
"do660pj",-1,1,1
"dt93mjm",0,0,1
"ddrfe0u",-1,1,1
"dshgdkk",-1,-99,0
"dicvsg8",0,-1,-1
"dpt6ubr",0,-1,0
"du34zle",0,-1,-1
"dsgtnv1",-1,0,1
"dpi3sds",1,0,0
"ddq2lxe",-1,0,0
"dbt24nf",0,0,-1
"dilfbp0",-1,1,1
"dlfzpqc",0,-1,-1
"dqrcnh6",0,0,1
"dhtkcd3",-1,0,0
"dbzg1nf",-1,0,0
"dptcqqs",0,-1,-1
"dj2bmi8",0,-1,-1
"dgwnq5e",-1,0,1
"dsz4u5u",-1,0,0
"deknn49",0,-1,-1
"dei252z",-1,0,-99
"djwnq8n",-1,0,0
"dfhf2ze",-1,0,0
"diww1ut",0,-1,-1
"dsyj9vq",0,-1,0
"dd17w6t",0,0,-1
"du16s79",-1,0,1
"dibyujm",0,1,1
"dumh3r8",-1,0,0
"dtifi2t",-1,1,1
"dilcrrx",0,1,1
"dj61efq",-1,1,1
"dr2jruc",-1,0,0
"dp0nuy0",-1,1,1
"ddc3ftc",0,0,-1
"dk1qurr",-1,0,0
"dty602c",0,0,-1
"dbm385n",-1,0,0
"dskg83h",0,1,1
"dkbs4wb",-1,1,1
"da3knoj",0,-1,-1
"d9wewyd",0,-1,-1
"dejahvl",-1,0,0
"djyi501",-1,0,0
"dizb8mb",0,-1,-1
"d9sedhj",0,0,-1
"dbg94aw",0,0,1
"ddcrufc",-1,0,0
"dt90ym0",0,-1,-1
"dfh2c4n",-1,0,0
"dhcppbv",-1,0,0
"djf3429",-1,0,0
"df6dcp2",0,-1,-1
"dqm5ugg",0,-1,-1
"dhw2tp2",0,-1,-1
"deb3rz1",-1,0,0
"dlt1213",0,0,-1
"dsjgl59",0,0,-1
"df6ey3z",0,0,-1
"dl2yxa0",0,0,-1
"dng0rn8",0,-1,0
"dm1eydb",0,0,-1
"dt6n19a",-1,0,-99
"dj2gr9o",-1,0,0
"dmfx63x",0,0,-1
"dewfvgc",-1,-99,0
"dfoyrul",-1,0,-1
"dmfwv3y",0,0,-1
"dr6v6bs",0,-1,0
"dtgh4w7",-1,1,1
"dd1l7uv",0,1,1
"dehxfo4",0,0,-1
"de4gwxk",-1,0,0
"dqm6ftu",1,0,0
"dc5qag9",0,-1,-1
"ddlb1wm",0,-1,0
"dfaaytm",1,-1,-1
"daq0vi5",-1,1,1
"dnxfrme",-1,0,0
"dr17ul5",-1,0,0
"dq1jk0u",0,1,1
"dpdo5wk",0,0,-1
"dudc5p4",-1,0,0
"doj9yb0",0,0,-1
"dtimsro",-1,0,0
"div786s",-1,1,1
"dm65y90",-1,0,1
"dskowck",-1,1,1
"di5v5bo",0,-1,-1
"db6jwu0",-1,0,0
"dtge57r",-1,0,0
"dkp5v8u",0,0,-1
"dgb7spr",-1,0,-99
"dk0r94r",0,-1,-1
"dtfg122",-1,0,0
"dph1ho3",0,-1,-1
"dnq561p",-1,1,1
"dbt1gjw",0,-1,-1
"dut9w29",-1,0,0
"dmoryxn",0,0,-1
"dsjo7hy",1,0,-1
"dbf6ztw",0,0,-1
"dl4zpad",-1,0,0
"dj3om0b",0,0,1
"duwygst",-1,0,0
"drme3i8",-1,0,1
"dpqabby",-1,0,0
"dcy3nq2",0,1,1
"driq9ed",0,0,1
"dlx6g1h",0,-1,-1
"dugt82g",0,-99,1
"dfxk9qh",0,-1,-1
"dsfpey2",0,0,-1
"dr68nb5",1,0,0
"di409m2",0,0,-1
"dk6oapy",0,-1,-1
"dnek066",-1,0,0
"dezh8vp",-1,0,0
"dtfjp2o",0,0,-1
"dd7xeq0",0,0,-1
"dk8u0fb",-1,1,1
"dt1c9fn",-1,0,0
"dt5xcl7",0,-1,0
"dsnjwar",0,0,-1
"dm01qla",0,-1,-1
"doebmzj",0,0,-1
"dhjixcd",-1,0,0
"dnf5moq",0,-1,-1
"dr622s3",-1,0,0
"dft80cv",-1,1,1
"dtpivrg",-1,0,0
"dm4y0lh",0,1,1
"dsrrsld",0,-1,0
"dss1btw",-1,1,1
"dsfu5g9",0,-1,0
"dplon7h",-1,0,0
"ddrgujs",-1,0,-1
"dfqu17w",0,0,-1
"dg4z3r7",0,0,-1
"ddakejx",0,1,1
"dn8480y",0,1,1
"ddng5n7",-1,0,0
"dl59j1i",-1,0,-99
"ddqz214",-1,0,0
"dt24qxd",0,-1,0
"dsamakc",0,0,-1
"dctnewz",0,0,-1
"dnizoln",0,-1,0
"daq99ux",-1,1,1
"dtse8bw",-1,0,0
"djwcr75",0,-1,-1
"dc9oka8",-1,1,1
"dhrh3fc",-1,-99,-99
"dgv27kv",0,0,-1
"dsd6vua",-1,0,0
"daj78q5",0,0,-1
"dt0bdxc",-1,0,0
"duta1ap",-1,1,1
"dc5bxgq",0,0,1
"desjmqu",0,-1,-1
"djzg7xv",-1,0,0
"ddizqfm",-1,0,0
"dtqiysl",-1,1,1
"dkonyiv",0,1,0
"div2urm",-1,1,1
"da1eko2",0,-1,0
"drhg5sj",0,1,1
"djlwhtw",0,-1,-1
"due4r4s",0,-1,0
"dhcks2u",0,0,-1
"donxf2k",-1,0,0
"dq5ocy7",0,-1,0
"dsmt8tg",-1,0,0
"dsxh7gn",0,-1,-1
"duasf8x",-1,1,1
"dhrocgz",0,0,1
"di4yw43",-1,0,0
"dekkk1l",0,-1,-1
"dqc7wpi",0,0,1
"djyh10p",-1,0,0
"dq4hcmp",-1,-99,-99
"dtkndkf",-1,0,0
"dbk3ckk",0,-1,-1
"dlx4wzx",0,-1,-1
"dk5jc6n",-1,0,1
"digi59k",-99,-1,-1
"dr65y79",1,-1,-1
"dsbm1x3",-1,0,0
"dksf42v",0,1,0
"dckxv1v",0,0,-1
"dr68axv",-1,0,0
"dlkde5e",0,-99,-1
"dbw1ftj",-1,0,0
"dnqq2kb",-1,0,0
"dd1jsgz",0,1,1
"dn98l7h",0,0,1
"dl0aqeh",0,0,-1
"ddxqz1o",0,-1,0
"d9vlg5i",-1,0,1
"dkf8usr",0,-1,-1
"dg9f5fh",0,-1,-1
"dj4m7aa",0,0,-1
"dtngnay",-1,0,0
"drp8mrh",0,0,1
"dell8tf",-1,1,1
"dhz0czg",0,-1,-1
"dgj7gvx",0,-1,-1
"dizrfm3",0,0,-1
"ds7zc70",-1,0,1
"dge120l",-1,1,1
"dtf8fr8",-1,0,0
"dueik0r",0,0,1
"dd3zj6c",-1,0,0
"dcf0x0i",-1,0,0
"dcnp5c5",-1,0,0
"dums5wj",0,-1,0
"dsfpdv2",0,-1,-1
"dhsqhpb",-99,1,1
"dqq7bca",-1,0,0
"dhhof70",0,0,-1
"dc4ef41",-1,0,0
"dd8l5uz",0,0,-1
"dr9qler",-1,0,0
"da6vsh5",-1,0,0
"dht4efv",0,-1,-1
"doja36s",0,-1,-1
"dluf90j",-1,-99,-99
"dgtg6ak",0,-1,-1
"ddetx4x",0,0,-1
"dclu707",0,0,-1
"dd7tl8n",-1,0,0
"dhjjpi5",-1,1,0
"dj5jj9b",0,1,0
"de0tqxt",-99,-1,1
"dkkyio1",0,-1,-1
"dbhbmha",-1,0,0
"ds21sl0",-1,0,0
"d9tkyq0",0,0,-1
"dcsrgpg",0,1,1
"dhzlxqc",0,-1,-1
"dcmnda0",-1,1,0
"dldtci7",0,-1,-1
"df8l18h",-1,0,-99
"duzeuwn",0,-1,-1
"dgyf3e9",0,-1,-1
"dpbz0aa",0,-1,-1
"dqgbm8k",-1,0,0
"dob85bl",-1,0,0
"drjvv0q",-1,1,0
"ds3jr29",0,0,1
"diky63u",-1,0,1
"dsss6ga",0,0,1
"dttvmsu",-1,0,0
"ds6fprd",0,0,-1
"dkd0kp2",0,1,0
"dl3vwcb",0,0,-1
"drectld",-1,1,0
"dhmjd5u",0,0,-1
"dpc6jzm",0,-1,-1
"dqn9xiv",-1,1,1
"dld643k",-1,0,0
"dukia3r",-1,0,0
"dtfusu9",-1,1,1
"div0km0",-1,1,1
"du4zsnm",0,-1,0
"drceh0f",-1,0,0
"dn0cqvm",0,0,-1
"dp3b61c",-1,1,1
"dnurz90",0,0,-1
"db70l5w",-1,-1,-1
"dr6bkj5",0,1,1
"dabacxl",0,1,0
"dgjhv34",-1,-1,-1
"dtxbkzi",0,1,1
"deyktel",0,-1,-1
"dfo784s",-1,0,1
"dcljwao",-1,0,0
"dfgqhhh",0,-1,-1
"dpmewno",-1,0,0
"ds9inxo",0,1,1
"dj78m3y",0,-1,0
"dkryeg6",-1,0,0
"dut9vyz",-1,0,0
"df38c6t",-1,0,1
"devsb7i",0,0,-1
"dejcylq",0,-99,-1
"do4er6r",-1,0,0
"dncomu5",-1,0,0
"du8yagr",-1,0,1
"deh2nyg",-1,1,1
"dupe9v4",0,0,-1
"dio5vvk",0,0,-1
"dqc4vig",0,0,1
"dsf8va3",0,0,-1
"dhoe0k8",0,-1,-1
"dunh019",0,-1,0
"dkvfcl9",-1,1,1
"dckzvwc",0,0,-1
"dtgmoap",-1,0,1
"deg6ubj",-1,1,0
"dtgblwz",-1,0,0
"di40vh3",0,-1,-1
"dpirqds",-1,-1,-1
"dhd9xvd",0,0,-1
"dd21mhk",0,1,1
"dilcjhr",-1,0,0
"daaviy1",0,-1,-1
"dqqsvnd",0,0,-1
"da8l3xw",-1,1,1
"dsyh8n8",0,-1,0
"dl92ivg",-1,1,1
"drbehj2",-1,-99,0
"dus074z",0,0,-1
"dp00i0x",-1,0,0
"doicast",0,-1,0
"dti7j4g",-99,-1,0
"dt0y051",-1,0,0
"dpyurwq",0,-1,0
"dotz4qc",0,0,-1
"dsp0v6d",-1,0,0
"dosg55g",-1,0,0
"dm4y38b",0,0,1
"diuvmom",-1,1,1
"diw1gdh",-1,0,0
"did1ihd",1,-1,-1
"dieszse",0,-1,-1
"drs4heg",-1,0,0
"dtxa6vb",-1,1,1
"dljq3p4",0,-99,-1
"dsipe68",-1,0,0
"dep09sn",-1,0,-1
"ddwk176",0,-1,0
"dfquiy7",0,-1,-1
"df63xps",0,-1,-1
"de8lcer",-1,0,0
"dhbxg5t",0,0,-1
"dd1p54y",-1,1,1
"dtn1h87",-1,0,0
"dki3m6h",0,0,-1
"dtcf71h",0,-1,-1
"dcs2beu",-1,1,1
"dfj2gu4",-1,0,0
"dqfnjq2",0,-1,0
"dujtwwh",-1,0,1
"dd7q3rg",0,-1,0
"drjh9dm",-1,1,0
"dek356z",0,-99,-1
"do26jrw",-1,0,0
"dob8ebj",0,0,-1
"dctloz9",0,0,-1
"dldn7y5",-1,-99,0
"djuu6ev",0,0,-1
"de583k1",1,-1,0
"dsixwu6",1,0,-1
"dax9nie",-1,0,1
"dn0ce4x",0,0,-1
"dhg2hub",0,0,-1
"dhdfhkp",-1,0,0
"donhaxc",-1,0,0
"dcslqe6",1,0,0
"dp0c413",-1,0,0
"dtfdtmh",-1,0,0
"dundo70",0,0,-1
"dc05u40",0,-1,-1
"dnloite",-1,0,0
"dtfh9gr",-1,0,0
"db85psm",0,-1,-1
"ddqqh1j",0,0,-1
"ds5u1jj",0,0,1
"dm4zgi5",-1,1,1
"dqwgid2",-1,0,0
"dnkbyx3",0,-1,-1
"dei1qgi",0,-1,-1
"dkf8wtp",0,0,-1
"dlqurv7",0,0,1
"ddmq1li",-1,-99,0
"dti6pqj",-1,0,0
"dn8aoaz",0,-1,-1
"djfj16e",-1,0,0
"dhcnlrt",-1,0,1
"dry95nu",-1,-99,-99
"do8aknf",0,0,-1
"dp5geny",1,-1,0
"dcuyn73",0,-1,-1
"dhghndi",-1,1,1
"djqjw6y",0,0,-1
"douozjr",-1,0,0
"dhg6zgh",-1,1,1
"dtu981l",0,-1,-1
"dtfne7p",-1,0,1
"dhk4hs1",-1,0,0
"dragylk",-1,0,0
"ds6fmqt",0,-1,-1
"dkq84vn",-1,0,0
"dt5obna",-1,0,0
"djrj38p",0,0,-1
"dmtarut",0,-1,0
"dmog6pl",0,-1,0
"djk80i1",0,0,-1
"dksdh7j",0,0,-1
"dsl5v2h",0,0,-1
"dt9w831",-1,0,0
"dtghg0p",1,0,-99
"dlvw6tu",0,0,-1
"dtalzlh",0,-1,-1
"dc9vejx",-1,0,0
"drnq84z",0,-1,-1
"dhlf3gu",-1,0,0
"dm4xcit",-1,-99,1
"db642m1",-1,0,0
"dctsa9a",0,0,-1
"dus0cct",-1,1,0
"da6gs7z",0,0,1
"dhtvp4b",-1,0,0
"dr5xyfr",-1,1,1
"dksdrzc",0,-1,-1
"dd4pqpy",-1,0,1
"djn9162",0,-1,0
"d9g6qr9",-1,0,0
"dm4vg4o",0,-1,-1
"dcd9k92",0,1,1
"dclwl0p",-1,0,0
"dlp79ex",0,0,-1
"dhg73a3",-1,0,0
"dsukhlx",-1,0,0
"dtmdi4r",0,0,-1
"dea2ede",0,0,-1
"dksinn1",-1,0,0
"dhis2j3",-1,0,0
"dgtfugz",0,-1,-1
"dcxqglo",0,-1,-1
"dbmtsza",-1,0,0
"d9g9fq8",-1,0,0
"dronevr",-1,0,0
"dskq0zm",0,0,-1
"ddnpq0l",0,-1,-1
"deiq1aa",0,0,-1
"dfy7ljk",0,-99,-1
"dtxwajh",0,-1,-1
"dti63k2",0,1,1
"due1j3z",0,0,-1
"dbbbr7q",-1,1,1
"depjs2d",0,0,-1
"dakf5r7",0,-1,-1
"dbc8k9j",0,-1,0
"dd5ebny",0,0,-1
"doioago",0,-1,-1
"dayj4m3",-1,0,0
"dtf8iir",-1,0,0
"dj1suug",0,0,-1
"dsjgkr2",0,-1,-1
"dddiq0j",-1,1,0
"dqv9lmr",0,0,-1
"dtf876v",-1,1,0
"dp29eyc",1,0,0
"dd4y6ru",-1,1,1
"dd20ln3",0,1,1
"dfbwxa0",0,0,-1
"dn8bmxu",0,-1,-1
"dtgc8fo",-1,-99,1
"drreoy0",-1,1,1
"dsqin5u",-1,0,0
"dcratzl",-1,1,0
"dhh3gs0",0,0,-1
"dj0gaxl",-1,0,0
"dhbk7kn",-1,1,0
"dlwe9h6",-1,0,1
"dilfj32",-1,0,0
"dtfivzv",-1,0,1
"dd1i5rv",0,-1,-1
"doei2ga",-1,0,0
"ddakq6e",-1,0,0
"dkiqdkk",0,-1,-1
"dh99lyd",0,-1,0
"dh5bnxn",0,0,-1
"ds8vyct",1,-1,-1
"dlu7q1x",0,0,-1
"dckgvuo",-1,0,0
"dt3j7lz",0,1,1
"d9scko8",-1,0,0
"dqwa1ph",0,-1,-1
"dtvuoia",0,-99,1
"djyjqyg",-1,1,0
"dtnmv5b",-1,0,0
"dssknz2",-1,0,0
"dj9lq59",-1,0,0
"dr1vj25",-1,1,1
"dcanond",0,0,-1
"dtsmwq5",0,0,-1
"dsyfwzy",0,-1,-1
"djwdnww",0,0,1
"ds3ueyr",0,0,-1
"dsdvs3a",0,0,-1
"ddualpk",-1,0,0
"dt2zk70",0,-1,0
"dldvwbo",-1,0,0
"di940pz",-1,1,1
"drasv0q",-1,0,0
"dumoe0i",-1,0,1
"dbwot10",-1,0,-99
"dd8l2gl",0,-1,-1
"disxaqk",0,0,-1
"dmdy746",0,-1,0
"dku3soq",0,-1,0
"du3k55p",-1,1,0
"dhdhrqr",0,-1,0
"dcawhyt",0,-1,-1
"dr4zopr",-1,1,1
"dps3ree",0,-1,0
"daxm69r",-1,0,0
"dp38pq3",-1,-99,-99
"dtsbzti",1,0,-1
"dm57rgy",-1,1,1
"dtcrqz8",-1,0,0
"dd93um2",0,0,-1
"df0nm4d",0,-1,-1
"dlr0h6s",0,0,-1
"d9vvsaw",-1,0,0
