which_date,pos_percent,neg_percent
2016-12-13,0.46153846153846156,0.6153846153846154
2017-07-01,0.0,1.0
2017-03-06,0.4,0.7
2017-04-01,0.0,1.0
2017-04-05,0.0,0.6666666666666666
2017-11-06,0.2857142857142857,0.8571428571428571
2017-03-03,0.16666666666666666,0.5
2017-06-05,0.14285714285714285,1.0
2017-09-03,0.1111111111111111,1.0
2018-01-05,0.3333333333333333,1.0
2018-02-04,0.25,1.0
2016-12-16,0.0,1.0
2017-07-26,0.5,0.5
2017-09-04,1.0,1.0
2017-07-10,0.42857142857142855,0.8571428571428571
2016-12-08,0.14285714285714285,0.8571428571428571
2017-05-07,0.75,0.75
2017-10-29,0.0,0.5
2017-04-03,0.0,1.0
2018-02-08,0.4,1.0
2017-10-28,0.0,1.0
2017-01-10,0.0,1.0
